LCMXO3L/LF-1300,,,,,,,,LCMXO3L/LF-2100,,,,,,,,LCMXO3L/LF-4300,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS
D1,PR3B,1,-,Comp_OF_PR3A,-,,,D1,PR3B,1,-,Comp_OF_PR3A,-,,,D1,PR5B,1,-,Comp_OF_PR5A,-
D10,PL4A,3,-,True_OF_PL4B,-,,,D10,PL5A,5,-,True_OF_PL5B,-,,,D10,PL8A,5,-,True_OF_PL8B,-
D11,PL4B,3,-,Comp_OF_PL4A,-,,,D11,PL5B,5,-,Comp_OF_PL5A,-,,,D11,PL8B,5,-,Comp_OF_PL8A,-
D2,PR3A,1,-,True_OF_PR3B,-,,,D2,PR3A,1,-,True_OF_PR3B,-,,,D2,PR5A,1,-,True_OF_PR5B,-
D3,PR2B,1,-,Comp_OF_PR2A,-,,,D3,PR1B,1,-,Comp_OF_PR1A,-,,,D3,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-
D4,PT17D,0,DONE,Comp_OF_PT17C,-,,,D4,PT24D,0,DONE,Comp_OF_PT24C,-,,,D4,PT28D,0,DONE,Comp_OF_PT28C,-
D5,VCC,-,-,-,-,,,D5,VCC,-,-,-,-,,,D5,VCC,-,-,-,-
D6,VCCIO0,0,-,-,-,,,D6,VCCIO0,0,-,-,-,,,D6,VCCIO0,0,-,-,-
D7,PT10C,0,TDO,True_OF_PT10D,-,,,D7,PT12C,0,TDO,True_OF_PT12D,-,,,D7,PT13C,0,TDO,True_OF_PT13D,-
D8,VCCIO3,3,-,-,-,,,D8,VCCIO5,5,-,-,-,,,D8,VCCIO5,5,-,-,-
D9,PL3C,3,-,True_OF_PL3D,-,,,D9,PL4A,5,-,True_OF_PL4B,-,,,D9,PL7A,5,-,True_OF_PL7B,-
E1,PR4D,1,-,Comp_OF_PR4C,-,,,E1,PR5B,1,-,Comp_OF_PR5A,-,,,E1,PR8B,1,-,Comp_OF_PR8A,-
E10,PL4C,3,-,True_OF_PL4D,-,,,E10,PL6A,4,-,True_OF_PL6B,-,,,E10,PL9A,4,-,True_OF_PL9B,-
E11,PL4D,3,-,Comp_OF_PL4C,-,,,E11,PL6B,4,-,Comp_OF_PL6A,-,,,E11,PL9B,4,-,Comp_OF_PL9A,-
E2,PR4C,1,-,True_OF_PR4D,-,,,E2,PR5A,1,-,True_OF_PR5B,-,,,E2,PR8A,1,-,True_OF_PR8B,-
E3,PR4B,1,-,Comp_OF_PR4A,-,,,E3,PR4B,1,-,Comp_OF_PR4A,-,,,E3,PR6B,1,-,Comp_OF_PR6A,-
E4,PR4A,1,-,True_OF_PR4B,-,,,E4,PR4A,1,-,True_OF_PR4B,-,,,E4,PR6A,1,-,True_OF_PR6B,-
E5,VCC,-,-,-,-,,,E5,VCC,-,-,-,-,,,E5,VCC,-,-,-,-
E6,GND,-,-,-,-,,,E6,GND,-,-,-,-,,,E6,GND,-,-,-,-
E7,GND,-,-,-,-,,,E7,GND,-,-,-,-,,,E7,GND,-,-,-,-
E8,PL2B,3,L_GPLLC_FB,Comp_OF_PL2A,-,,,E8,PL1B,5,L_GPLLC_FB,Comp_OF_PL1A,-,,,E8,PL3B,5,L_GPLLC_FB,Comp_OF_PL3A,-
E9,PL3D,3,-,Comp_OF_PL3C,-,,,E9,PL4B,5,-,Comp_OF_PL4A,-,,,E9,PL7B,5,-,Comp_OF_PL7A,-
F1,PR5D,1,PCLKC1_0,Comp_OF_PR5C,-,,,F1,PR7B,1,PCLKC1_0,Comp_OF_PR7A,-,,,F1,PR10B,1,PCLKC1_0,Comp_OF_PR10A,-
F10,PL5B,3,PCLKC3_1,Comp_OF_PL5A,-,,,F10,PL7D,4,PCLKC4_0,Comp_OF_PL7C,-,,,F10,PL10D,4,PCLKC4_0,Comp_OF_PL10C,-
F11,PL5A,3,PCLKT3_1,True_OF_PL5B,-,,,F11,PL7C,4,PCLKT4_0,True_OF_PL7D,-,,,F11,PL10C,4,PCLKT4_0,True_OF_PL10D,-
F2,PR5C,1,PCLKT1_0,True_OF_PR5D,-,,,F2,PR7A,1,PCLKT1_0,True_OF_PR7B,-,,,F2,PR10A,1,PCLKT1_0,True_OF_PR10B,-
F3,PR5A,1,-,True_OF_PR5B,-,,,F3,PR6A,1,-,True_OF_PR6B,-,,,F3,PR9A,1,-,True_OF_PR9B,-
F4,PR5B,1,-,Comp_OF_PR5A,-,,,F4,PR6B,1,-,Comp_OF_PR6A,-,,,F4,PR9B,1,-,Comp_OF_PR9A,-
F5,GND,-,-,-,-,,,F5,GND,-,-,-,-,,,F5,GND,-,-,-,-
F6,GND,-,-,-,-,,,F6,GND,-,-,-,-,,,F6,GND,-,-,-,-
